                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                  1.263,                0.59341,                0.95495,                 1.6534,                0.78673,                0.93247,                0.85976,                0.64047,                0.71254,                0.41603,                 1.1544,                0.48354,                0.93121,                 1.4775,                0.64224,                0.91887,                0.00439,                0.00439,                0.00439
                     88,                 1.2615,                0.59088,                0.95463,                 1.6457,                0.78281,                0.93144,                0.85966,                0.64067,                0.71263,                0.41625,                 1.1534,                0.48306,                0.93084,                 1.4767,                0.64179,                0.91853,               0.004324,               0.004324,               0.004324
                     89,                 1.2686,                0.59819,                 0.9523,                 1.6534,                0.78805,                0.92783,                0.85968,                0.64114,                0.71276,                0.41655,                 1.1524,                0.48249,                0.93046,                 1.4757,                0.64112,                0.91813,               0.004258,               0.004258,               0.004258
                     90,                 1.2534,                0.58124,                0.94698,                 1.6395,                0.77207,                0.92341,                0.85962,                0.64113,                0.71274,                0.41656,                  1.152,                0.48222,                0.93029,                 1.4755,                 0.6409,                  0.918,               0.004258,               0.004258,               0.004258
                     91,                 1.2602,                0.58653,                0.94986,                 1.6492,                0.77445,                0.92706,                0.86033,                0.64077,                0.71281,                0.41664,                 1.1515,                0.48186,                0.93003,                 1.4752,                0.64021,                 0.9178,               0.004126,               0.004126,               0.004126
                     92,                 1.2665,                 0.5916,                0.95297,                 1.6551,                0.78591,                0.92917,                0.86064,                0.64083,                0.71293,                0.41678,                 1.1511,                0.48156,                0.92988,                 1.4747,                0.63982,                0.91766,                0.00406,                0.00406,                0.00406
                     93,                 1.2657,                 0.5904,                0.95331,                 1.6538,                0.77852,                0.92974,                0.86092,                0.64098,                 0.7131,                0.41693,                 1.1504,                0.48124,                0.92969,                 1.4741,                0.63938,                0.91751,               0.003994,               0.003994,               0.003994
                     94,                 1.2593,                0.58814,                0.95058,                 1.6542,                 0.7773,                0.92798,                0.86067,                0.64115,                0.71314,                0.41707,                 1.1499,                0.48099,                0.92953,                 1.4734,                0.63917,                0.91732,               0.003928,               0.003928,               0.003928
                     95,                  1.258,                0.58452,                0.95076,                 1.6411,                0.77166,                 0.9283,                0.86077,                0.64123,                0.71325,                0.41719,                 1.1491,                0.48055,                0.92929,                 1.4729,                0.63869,                0.91715,               0.003862,               0.003862,               0.003862
                     96,                 1.2539,                0.58371,                0.94879,                 1.6391,                0.76548,                0.92755,                 0.8606,                0.64144,                0.71334,                 0.4173,                 1.1483,                0.48015,                0.92898,                 1.4723,                0.63848,                0.91692,               0.003796,               0.003796,               0.003796
                     97,                 1.2517,                0.58386,                0.94991,                 1.6371,                0.77388,                0.92852,                0.86077,                 0.6415,                0.71339,                0.41749,                 1.1478,                0.47988,                0.92871,                 1.4718,                0.63785,                0.91673,                0.00373,                0.00373,                0.00373
                     98,                 1.2457,                0.57899,                0.94447,                 1.6344,                 0.7639,                0.92314,                 0.8607,                0.64158,                0.71347,                0.41763,                 1.1472,                0.47956,                0.92845,                 1.4713,                0.63737,                0.91655,               0.003664,               0.003664,               0.003664
                     99,                 1.2558,                0.58355,                0.94614,                 1.6451,                0.77603,                0.92541,                0.86049,                0.64217,                0.71373,                0.41788,                 1.1464,                0.47916,                0.92814,                 1.4706,                0.63686,                0.91629,               0.003598,               0.003598,               0.003598
                    100,                 1.2441,                0.57902,                0.94143,                 1.6411,                0.77288,                0.92183,                0.86118,                0.64173,                0.71376,                  0.418,                 1.1456,                0.47879,                0.92781,                   1.47,                0.63658,                0.91602,               0.003532,               0.003532,               0.003532
                    101,                 1.2396,                0.57341,                0.94399,                 1.6285,                0.75956,                0.92465,                0.86056,                0.64262,                 0.7139,                0.41821,                 1.1448,                0.47847,                0.92749,                 1.4691,                0.63624,                0.91576,               0.003466,               0.003466,               0.003466
                    102,                 1.2391,                 0.5753,                0.94583,                   1.63,                0.76564,                0.92381,                0.86131,                 0.6422,                0.71399,                0.41836,                 1.1442,                0.47812,                0.92721,                 1.4683,                 0.6358,                0.91554,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.2288,                0.57137,                0.94204,                 1.6208,                 0.7623,                0.92171,                0.86136,                0.64231,                0.71414,                0.41857,                 1.1433,                0.47771,                0.92697,                 1.4675,                0.63555,                0.91531,               0.003334,               0.003334,               0.003334
                    104,                 1.2355,                0.57227,                0.94437,                 1.6226,                0.75802,                0.92235,                  0.861,                0.64296,                 0.7143,                0.41876,                 1.1425,                0.47731,                0.92671,                 1.4669,                0.63504,                0.91512,               0.003268,               0.003268,               0.003268
